access,from,from_i,start_time,stop_time,to,to_i
75,S2,2,2019-06-20 04:08:46.821,2019-06-20 04:20:33.129,S1,1
76,S1,1,2019-06-20 04:08:46.821,2019-06-20 04:20:33.129,S2,2
77,S2,2,2019-06-20 04:08:46.821,2019-06-20 04:20:33.129,S1,1
78,S2,2,2019-06-20 04:56:09.581,2019-06-20 05:07:55.941,S1,1
79,S1,1,2019-06-20 04:56:09.581,2019-06-20 05:07:55.941,S2,2
80,S1,1,2019-06-20 04:56:09.581,2019-06-20 05:07:55.941,S2,2
81,S2,2,2019-06-20 04:56:09.581,2019-06-20 05:07:55.941,S1,1
82,S2,2,2019-06-20 05:43:37.450,2019-06-20 05:55:23.757,S1,1
83,S1,1,2019-06-20 05:43:37.450,2019-06-20 05:55:23.757,S2,2
84,S2,2,2019-06-20 05:43:37.450,2019-06-20 05:55:23.757,S1,1
85,S1,1,2019-06-20 05:43:37.450,2019-06-20 05:55:23.757,S2,2
86,S2,2,2019-06-20 06:31:00.212,2019-06-20 06:42:46.573,S1,1
87,S1,1,2019-06-20 06:31:00.212,2019-06-20 06:42:46.573,S2,2
88,S1,1,2019-06-20 06:31:00.212,2019-06-20 06:42:46.573,S2,2
89,S2,2,2019-06-20 06:31:00.212,2019-06-20 06:42:46.573,S1,1
90,S2,2,2019-06-20 07:18:28.085,2019-06-20 07:30:14.387,S1,1
91,S1,1,2019-06-20 07:18:28.085,2019-06-20 07:30:14.387,S2,2
92,S1,1,2019-06-20 07:18:28.085,2019-06-20 07:30:14.387,S2,2
93,S2,2,2019-06-20 07:18:28.085,2019-06-20 07:30:14.387,S1,1
94,S1,1,2019-06-20 07:35:37.301,2019-06-20 07:46:02.048,SAA,4
95,S2,2,2019-06-20 07:37:01.292,2019-06-20 07:43:19.881,SAA,4
96,S2,2,2019-06-20 08:05:50.840,2019-06-20 08:17:37.203,S1,1
97,S2,2,2019-06-20 08:05:50.840,2019-06-20 08:17:37.203,S1,1
98,S1,1,2019-06-20 08:05:50.840,2019-06-20 08:17:37.203,S2,2
99,S1,1,2019-06-20 08:05:50.840,2019-06-20 08:17:37.203,S2,2
100,S1,1,2019-06-20 08:53:18.715,2019-06-20 09:05:05.017,S2,2
101,S2,2,2019-06-20 08:53:18.715,2019-06-20 09:05:05.017,S1,1
102,S1,1,2019-06-20 08:53:18.715,2019-06-20 09:05:05.017,S2,2
103,S2,2,2019-06-20 08:53:18.715,2019-06-20 09:05:05.017,S1,1
104,S2,2,2019-06-20 09:08:40.002,2019-06-20 09:20:09.346,SAA,4
105,S1,1,2019-06-20 09:09:30.111,2019-06-20 09:19:43.919,SAA,4
106,S2,2,2019-06-20 09:40:41.467,2019-06-20 09:52:27.835,S1,1
107,S1,1,2019-06-20 09:40:41.467,2019-06-20 09:52:27.835,S2,2
108,S2,2,2019-06-20 09:40:41.467,2019-06-20 09:52:27.835,S1,1
109,S1,1,2019-06-20 09:40:41.467,2019-06-20 09:52:27.835,S2,2
110,S2,2,2019-06-20 10:28:09.348,2019-06-20 10:39:55.646,S1,1
111,S1,1,2019-06-20 10:28:09.348,2019-06-20 10:39:55.646,S2,2
112,S1,1,2019-06-20 10:28:09.348,2019-06-20 10:39:55.646,S2,2
113,S2,2,2019-06-20 10:28:09.348,2019-06-20 10:39:55.646,S1,1
114,S1,1,2019-06-20 10:43:45.583,2019-06-20 10:55:05.250,SCL,3
115,S2,2,2019-06-20 10:44:07.613,2019-06-20 10:53:35.354,SCL,3
116,S2,2,2019-06-20 10:45:47.895,2019-06-20 10:49:17.779,SAA,4
117,S1,1,2019-06-20 11:15:32.099,2019-06-20 11:27:18.468,S2,2
118,S2,2,2019-06-20 11:15:32.099,2019-06-20 11:27:18.468,S1,1
119,S2,2,2019-06-20 11:15:32.099,2019-06-20 11:27:18.468,S1,1
120,S1,1,2019-06-20 11:15:32.099,2019-06-20 11:27:18.468,S2,2
121,S1,1,2019-06-20 12:02:59.980,2019-06-20 12:14:46.273,S2,2
122,S2,2,2019-06-20 12:02:59.980,2019-06-20 12:14:46.273,S1,1
123,S2,2,2019-06-20 12:02:59.980,2019-06-20 12:14:46.273,S1,1
124,S1,1,2019-06-20 12:02:59.980,2019-06-20 12:14:46.273,S2,2
125,S2,2,2019-06-20 12:17:21.433,2019-06-20 12:28:22.973,SCL,3
126,S1,1,2019-06-20 12:18:34.168,2019-06-20 12:27:19.364,SCL,3
127,S1,1,2019-06-20 12:38:33.140,2019-06-20 12:48:12.932,CAL,5
